5008,41,156,1033,1479,5,10
5009,83,156,1243,1479,3,7
5012,27,136,1073,766,8,6
5013,39,156,472,494,7,5
5014,42,156,52,237,3,8
5022,25,57,877,1352,7,5
5023,38,155,1255,704,5,9
5025,53,156,1267,473,4,8
5026,110,156,1129,340,4,8
5034,47,129,1253,641,3,7
5036,80,156,1206,470,4,7
5037,98,156,1136,252,4,8
5044,22,110,964,1403,7,6
5045,54,116,1128,1278,4,8
5046,60,156,369,1162,8,5
5047,67,156,388,1190,8,4
5048,74,156,413,1217,9,5
5049,81,156,428,1243,8,5
5050,88,156,457,1265,8,3
5056,21,123,760,1282,7,5
5057,39,150,851,1283,7,4
5058,42,146,863,1281,7,4
5059,47,115,904,1281,8,5
5060,32,140,298,1034,7,6
5061,37,125,305,1056,7,5
5062,45,130,329,1096,8,5
5063,52,136,342,1126,8,6
5066,21,131,1069,1199,5,8
5067,27,151,975,1468,5,7
5068,48,156,1066,1480,5,9
5069,64,156,1142,1478,3,8
5076,23,56,752,593,8,6
5077,30,74,734,588,7,5
5088,34,88,692,573,7,5
5099,54,107,719,599,8,4
5100,24,123,142,63,6,10
5101,60,138,440,562,8,4
5102,110,156,659,638,7,4
5106,21,152,958,1449,6,8
5107,101,156,1329,1352,4,8
5112,79,155,1218,1296,3,8
5113,56,156,1103,1481,4,9
5114,71,156,1179,1479,4,9
