5008,41,156,1033,1479,5,9
5009,83,156,1243,1480,3,8
5012,27,136,1072,767,8,6
5013,34,156,376,433,8,5
5014,33,156,118,67,5,8
5022,25,57,877,1353,7,6
5023,38,155,1255,704,5,9
5025,53,156,1267,473,4,8
5026,110,156,1129,339,4,9
5034,47,129,1253,642,3,8
5036,80,156,1206,468,4,8
5037,98,156,1136,251,4,7
5044,22,110,964,1403,6,6
5045,50,116,1094,1325,7,4
5046,60,156,369,1162,8,5
5047,67,156,389,1190,8,4
5048,74,156,413,1217,9,5
5049,81,156,428,1242,9,4
5050,88,156,457,1266,8,4
5056,22,123,795,1300,9,7
5057,39,150,851,1284,7,5
5058,42,146,862,1281,7,4
5059,47,115,904,1281,9,5
5060,32,140,298,1034,8,6
5061,37,125,306,1057,8,6
5062,45,130,329,1096,8,5
5063,52,136,343,1126,8,5
5066,22,131,1082,1172,5,8
5067,27,151,975,1469,5,7
5068,48,156,1065,1480,5,9
5069,64,156,1143,1478,4,8
5076,23,56,752,594,8,7
5077,23,74,517,456,7,5
5088,29,88,521,480,7,5
5099,54,107,719,600,7,5
5100,24,123,141,63,5,10
5101,32,138,103,123,4,8
5102,110,156,659,639,7,5
5106,22,152,964,1443,6,9
5107,85,156,1252,1441,4,8
5112,69,155,1176,1344,3,8
5113,56,156,1103,1481,4,9
5114,71,156,1179,1479,4,9
