1239,41,156,1476,1033
1240,83,156,1479,1242
1243,22,141,694,923
1244,22,156,243,167
1245,30,156,28,137
1247,113,156,916,22
1253,22,65,1380,905
1254,22,156,685,1296
1256,51,156,474,1271
1257,89,156,279,1166
1264,22,138,1397,994
1265,22,156,641,1313
1267,59,156,427,1254
1268,96,156,250,1141
1275,22,123,1400,961
1276,22,126,1381,929
1277,45,156,1054,217
1278,54,156,1105,239
1279,61,156,1143,258
1280,68,156,1179,277
1281,75,156,1214,299
1282,82,156,1248,322
1283,89,156,1280,346
1284,98,156,1318,384
1285,105,156,1345,413
1286,112,156,1370,442
1287,22,129,1299,794
1288,22,156,1123,508
1289,22,156,1037,367
1290,22,156,974,266
1291,22,156,934,205
1292,24,156,930,182
1293,31,156,973,193
1294,38,156,1013,203
1298,27,156,1468,973
1299,48,156,1480,1064
1300,64,156,1477,1141
1307,22,58,574,722
1308,22,74,434,487
1309,104,156,841,25
1310,108,156,875,20
1311,118,156,956,26
1312,122,156,993,20
1319,22,88,340,329
1330,22,109,116,125
1331,22,123,24,159
1332,27,138,33,143
1336,99,156,802,24
1337,22,153,1442,963
1338,77,156,1479,1209
1343,34,155,1474,1002
1344,56,156,1479,1102
1345,71,156,1478,1177
1354,104,150,222,1111
1355,112,153,190,1079
1356,119,156,170,1050
1384,66,122,389,1236
1385,75,126,346,1211
1386,82,143,311,1190
